114070	343276	1	1
114071	343293	1	1
114072	343310	1	1
36350	343327	8	6
36351	343395	2	2
36352	343422	4	3
61330	343461	2	2
36353	343484	12	7
61331	343590	2	2
36354	343613	2	2
61332	343637	2	2
61333	343660	2	2
114059	343683	1	1
61334	343700	2	2
61335	343723	2	2
61336	343746	2	2
61337	343769	2	2
61338	343792	2	2
61339	343815	2	2
114062	343838	3	3
114063	343866	2	2
114064	343889	3	3
114065	343919	3	3
114066	343949	3	3
75960	343979	13	3
114067	344055	3	3
75961	344085	2	2
114068	344107	1	1
75962	344122	2	2
114069	344144	1	1
36355	344159	1	1
75963	344174	792	12
36356	347390	1	1
75964	347405	4	2
36357	347439	7	4
75965	347496	2	2
36358	347518	151	20
75966	348320	2	2
36359	348342	3	3
75967	348376	3	2
75968	348403	2	2
75969	348425	2	2
114060	348447	4	2
114061	348478	4	2
36340	348511	1	1
61340	348526	2	2
36341	348549	8	5
61341	348613	2	2
36342	348636	2	2
61342	348657	2	2
36343	348680	1	1
61343	348695	2	2
61344	348718	2	2
114048	348741	1	1
61345	348758	2	2
114049	348781	1	1
61346	348798	2	2
61347	348821	2	2
61348	348844	2	2
61349	348867	2	2
114051	348890	1	1
114052	348907	1	1
75990	348924	2	2
114053	348946	1	1
75991	348963	3	3
114054	348995	1	1
75992	349012	2	2
114055	349034	1	1
75993	349051	2	2
114056	349073	1	1
75994	349090	2	2
114057	349112	1	1
75995	349129	2	2
114058	349151	3	1
36344	349177	1	1
75996	349192	3	3
36345	349224	2	2
75997	349252	1	1
36346	349268	6	6
75998	349331	4	4
36347	349367	2	1
75999	349387	2	2
36348	349409	6	6
36349	349469	2	2
114050	349490	1	1
61350	349506	2	2
61351	349529	2	2
36330	349552	1	1
61352	349567	2	2
36331	349590	1	1
61353	349605	2	2
36332	349628	16	16
61354	349746	2	2
61355	349769	2	2
114037	349792	1	1
61356	349809	2	2
114038	349832	1	1
61357	349849	2	2
114039	349872	3	3
61358	349901	2	2
61359	349924	2	2
114040	349947	1	1
114041	349964	1	1
114042	349981	1	1
75980	349998	2	2
114043	350020	1	1
75981	350037	2	2
114044	350059	1	1
75982	350076	2	2
114045	350098	1	1
75983	350115	2	2
114046	350137	1	1
75984	350154	2	2
114047	350176	1	1
36333	350193	5	5
75985	350242	4	2
36334	350274	19	2
75986	350384	4	2
36335	350414	1	1
75987	350429	4	2
36336	350461	2	2
75988	350487	2	2
36337	350509	1	1
75989	350524	2	2
36338	350546	2	2
36339	350572	2	1
61360	350591	2	2
61361	350614	2	2
61362	350638	2	2
61363	350662	2	2
36320	350686	2	2
61364	350708	2	2
36321	350732	18	12
61365	350871	2	2
61366	350895	2	2
61367	350919	2	2
61368	350943	2	2
61369	350967	2	2
36322	350991	2	2
36323	351013	1	1
36324	351027	2	1
36325	351046	6	6
36326	351095	1	1
36327	351110	1	1
36328	351125	14	7
36329	351216	2	1
61370	351235	2	2
61371	351259	2	2
61372	351283	2	2
61373	351307	2	2
61374	351331	2	2
61375	351355	2	2
36310	351379	2	2
61376	351401	2	2
61377	351425	2	2
61378	351449	2	2
61379	351473	2	2
36319	351497	2	2
36311	351519	2	2
36312	351541	2	2
36313	351563	4	3
36314	351600	2	2
36315	351622	2	2
36316	351644	5	5
36317	351692	2	2
36318	351714	2	2
61380	351736	2	2
61381	351760	2	2
61382	351784	2	2
61383	351808	2	2
61384	351832	2	2
61385	351856	2	2
61386	351880	2	2
61387	351904	2	2
61388	351928	2	2
61389	351952	2	2
36308	351976	2	2
114095	351998	1	1
36309	352016	2	2
114096	352038	1	1
114097	352054	1	1
114098	352071	1	1
114099	352089	1	1
36300	352107	3	3
36301	352136	3	3
36302	352165	9	6
36303	352236	15	11
114090	352362	1	1
36304	352380	4	4
114091	352421	1	1
36305	352439	5	5
114092	352489	1	1
36306	352507	3	3
114093	352536	1	1
36307	352554	5	5
114094	352605	1	1
61391	352623	2	2
61392	352647	2	2
61393	352671	2	2
61394	352695	2	2
61395	352719	2	2
61396	352743	2	2
61397	352767	2	2
61398	352791	2	2
61399	352815	2	2
114084	352839	1	1
114085	352857	1	1
114086	352875	1	1
114087	352893	1	1
114088	352911	1	1
114089	352929	1	1
114080	352947	1	1
114081	352965	1	1
114082	352983	1	1
61390	353001	2	2
114083	353025	1	1
75905	353043	11	8
75906	353127	1	1
75907	353144	1	1
75908	353161	1	1
75909	353178	1	1
75910	353195	1	1
75911	353212	1	1
75912	353229	1	1
75913	353246	1	1
75914	353263	1	1
75915	353280	1	1
3704	353297	421	32
3705	355665	2	2
3706	355684	22	15
3707	355858	12	5
3708	355939	19	15
3709	356107	32	28
75900	356348	1	1
3700	356365	2	2
75901	356384	2	2
3701	356410	4	4
75902	356452	1	1
3702	356469	2	2
75903	356488	1	1
3703	356505	4	4
75904	356547	1	1
75927	356564	1	1
75928	356581	1	1
75929	356598	1	1
3715	356615	76	31
3716	357080	2	2
3717	357099	35	26
3718	357378	2	2
3719	357397	35	24
75930	357673	1	1
75931	357690	1	1
75932	357707	1	1
3710	357724	64	19
75933	358095	1	1
3711	358112	5	4
75934	358157	1	1
3712	358174	3	3
75935	358202	1	1
3713	358219	30	12
75936	358411	1	1
3714	358428	2	2
75937	358447	1	1
36391	358464	8	8
75916	358532	1	1
36392	358549	7	7
75917	358606	1	1
36393	358623	7	7
75918	358680	1	1
36394	358697	13	11
75919	358804	1	1
36395	358821	7	7
36396	358878	14	10
36397	358982	7	7
36398	359039	7	7
36390	359096	7	7
3726	359153	106	50
3727	359917	2	2
3728	359936	62	38
3729	360371	3	3
36399	360403	5	5
75920	360451	1	1
3720	360468	13	13
75921	360578	1	1
3721	360595	14	14
75922	360701	1	1
3722	360718	11	5
75923	360802	1	1
3723	360819	13	11
75924	360923	6	4
3724	360970	2	2
75925	360989	1	1
3725	361006	64	27
75926	361434	1	1
36380	361451	3	3
75949	361479	2	2
36381	361499	3	3
36382	361527	13	7
36383	361614	28	14
36384	361804	10	5
36385	361877	7	7
36386	361934	7	7
36387	361991	8	8
61300	362058	1	1
61301	362075	1	1
61302	362092	1	1
61303	362109	1	1
61304	362126	1	1
61305	362143	1	1
61306	362160	1	1
61307	362177	1	1
3737	362194	3	3
3738	362226	5	3
3739	362269	507	187
75950	365283	2	2
75951	365303	52	2
36388	365573	7	7
75952	365630	2	2
3730	365652	17	12
36389	365794	7	7
75953	365851	4	2
3731	365883	4	4
75954	365926	6	4
3732	365977	32	27
75955	366236	2	2
3733	366258	5	5
75956	366305	2	2
3734	366327	66	17
75957	366734	2	2
3735	366756	35	24
75958	367029	2	2
3736	367051	55	31
75959	367421	2	2
75938	367443	1	1
36370	367460	3	3
75939	367488	1	1
36371	367505	3	3
36372	367533	5	5
36373	367577	3	3
36374	367605	3	3
36375	367633	3	3
3750	367661	3	3
36376	367693	15	13
61310	367811	3	1
61311	367836	1	1
